Event,Time,X Coordinate
Start leaving,1723624618.805663,0
Finish leaving,1723624624.9860141,40008
Start coming back,1723624628.9904025,40008
Finish coming back,1723624635.1550035,0
Start leaving,1723624639.1594195,0
Finish leaving,1723624645.3268025,40008
Start coming back,1723624649.3311903,40008
Finish coming back,1723624655.495992,0
Start leaving,1723624659.5003774,0
Finish leaving,1723624665.6652904,40008
Start coming back,1723624669.669711,40008
Finish coming back,1723624675.8354287,0
Start leaving,1723624679.8398035,0
Finish leaving,1723624686.0185733,40008
Start coming back,1723624690.0230143,40008
Finish coming back,1723624696.1995916,0
Start leaving,1723624700.204001,0
Finish leaving,1723624706.384547,40008
Start coming back,1723624710.3888545,40008
Finish coming back,1723624716.567464,0
