Event,Time,X Coordinate
Start leaving,1709617496.433494,0
Finish leaving,1709617502.605731,40008
Start coming back,1709617506.610064,40008
Finish coming back,1709617512.7833521,-3
Start leaving,1709617516.7873676,-3
Finish leaving,1709617522.9644418,40008
Start coming back,1709617526.968793,40008
Finish coming back,1709617533.1253443,0
Start leaving,1709617537.1296837,0
Finish leaving,1709617543.276023,40008
Start coming back,1709617547.2783754,40008
Finish coming back,1709617553.430314,-3
Start leaving,1709617557.4340389,-3
Finish leaving,1709617563.5993402,40008
Start coming back,1709617567.6036391,40008
Finish coming back,1709617573.7705002,-3
Start leaving,1709617577.774634,-3
Finish leaving,1709617583.9474492,40008
Start coming back,1709617587.95152,40008
Finish coming back,1709617594.122842,-3
